"id","name","created_at","updated_at"
1,"Japanese","2020-04-06 15:23:46.425421","2020-04-06 15:23:46.425421"
2,"Hollywood","2020-04-06 15:25:16.592458","2020-04-06 15:25:16.592458"
3,"Action","2020-04-06 15:25:51.768616","2020-04-06 15:25:51.768616"
4,"Academy awards","2020-04-06 15:26:49.772099","2020-04-06 15:26:49.772099"
5,"SF","2020-04-06 15:27:23.367779","2020-04-06 15:27:23.367779"
